date,open,highest,lowest,close,change,change_percentage,volume
30/06/2008,5223.0,5223.0,5174.0,5223.0,0.0,0.0,95500
27/06/2008,5075.0,5075.0,4977.0,5075.0,0.0,0.0,111050
26/06/2008,4928.0,4928.0,4928.0,4928.0,0.0,0.0,129730
25/06/2008,4804.0,4804.0,4804.0,4804.0,0.0,0.0,40310
24/06/2008,4681.0,4681.0,4681.0,4681.0,0.0,0.0,37440
23/06/2008,4410.0,4558.0,4410.0,4558.0,148.0,3.35,91880
20/06/2008,4435.0,4435.0,4435.0,4435.0,0.0,0.0,154500
19/06/2008,4558.0,4558.0,4558.0,4558.0,0.0,0.0,76910
18/06/2008,4681.0,4681.0,4681.0,4681.0,0.0,0.0,129760
17/06/2008,4607.0,4607.0,4607.0,4607.0,0.0,0.0,55150
16/06/2008,4385.0,4533.0,4385.0,4533.0,148.0,3.37,200800
13/06/2008,4459.0,4607.0,4459.0,4459.0,0.0,0.0,381270
12/06/2008,4533.0,4533.0,4533.0,4533.0,0.0,0.0,108920
11/06/2008,4607.0,4607.0,4607.0,4607.0,0.0,0.0,160500
10/06/2008,4681.0,4681.0,4681.0,4681.0,0.0,0.0,180
09/06/2008,4755.0,4755.0,4755.0,4755.0,0.0,0.0,14330
06/06/2008,4829.0,4829.0,4829.0,4829.0,0.0,0.0,20360
05/06/2008,4928.0,4928.0,4928.0,4928.0,0.0,0.0,6990
04/06/2008,5026.0,5026.0,5026.0,5026.0,0.0,0.0,5610
03/06/2008,5125.0,5125.0,5125.0,5125.0,0.0,0.0,5950
02/06/2008,5223.0,5223.0,5223.0,5223.0,0.0,0.0,1280
30/05/2008,5322.0,5322.0,5322.0,5322.0,0.0,0.0,4740
26/05/2008,5420.0,5420.0,5420.0,5420.0,0.0,0.0,73400
23/05/2008,5519.0,5519.0,5519.0,5519.0,0.0,0.0,16670
22/05/2008,5617.0,5617.0,5617.0,5617.0,0.0,0.0,920
21/05/2008,5716.0,5716.0,5716.0,5716.0,0.0,0.0,12020
20/05/2008,5815.0,5815.0,5815.0,5815.0,0.0,0.0,8200
19/05/2008,5913.0,5913.0,5913.0,5913.0,0.0,0.0,36280
16/05/2008,6012.0,6012.0,6012.0,6012.0,0.0,0.0,102910
15/05/2008,6110.0,6110.0,6110.0,6110.0,0.0,0.0,230
14/05/2008,6209.0,6209.0,6209.0,6209.0,0.0,0.0,3080
13/05/2008,6307.0,6307.0,6307.0,6307.0,0.0,0.0,6820
12/05/2008,6406.0,6406.0,6406.0,6406.0,0.0,0.0,28170
09/05/2008,6505.0,6505.0,6505.0,6505.0,0.0,0.0,18080
08/05/2008,6603.0,6603.0,6603.0,6603.0,0.0,0.0,93640
07/05/2008,6899.0,6899.0,6702.0,6702.0,-197.0,-2.86,80640
06/05/2008,6751.0,6800.0,6702.0,6800.0,49.0,0.73,181970
05/05/2008,6702.0,6702.0,6702.0,6702.0,0.0,0.0,208760
29/04/2008,6603.0,6603.0,6603.0,6603.0,0.0,0.0,40040
28/04/2008,6406.0,6505.0,6406.0,6505.0,99.0,1.54,64040
25/04/2008,6357.0,6406.0,6307.0,6406.0,49.0,0.78,57160
24/04/2008,6160.0,6307.0,6110.0,6307.0,148.0,2.4,64510
23/04/2008,6357.0,6357.0,6209.0,6209.0,-148.0,-2.33,189200
22/04/2008,6307.0,6307.0,6258.0,6307.0,0.0,0.0,121310
21/04/2008,6209.0,6209.0,6209.0,6209.0,0.0,0.0,50760
18/04/2008,6110.0,6110.0,6110.0,6110.0,0.0,0.0,221110
17/04/2008,5815.0,6012.0,5815.0,6012.0,197.0,3.39,86990
16/04/2008,5913.0,5962.0,5913.0,5913.0,0.0,0.0,114320
11/04/2008,5913.0,6011.0,5864.0,6011.0,98.0,1.65,208280
10/04/2008,5913.0,5913.0,5815.0,5913.0,0.0,0.0,527120
09/04/2008,5815.0,5815.0,5815.0,5815.0,0.0,0.0,136790
08/04/2008,5718.0,5718.0,5718.0,5718.0,0.0,0.0,139800
07/04/2008,5620.0,5620.0,5620.0,5620.0,0.0,0.0,2400
04/04/2008,5522.0,5522.0,5522.0,5522.0,0.0,0.0,5400
03/04/2008,5473.0,5473.0,5473.0,5473.0,0.0,0.0,1300
02/04/2008,5424.0,5424.0,5424.0,5424.0,0.0,0.0,5380
01/04/2008,5376.0,5376.0,5376.0,5376.0,0.0,0.0,800
31/03/2008,5327.0,5327.0,5327.0,5327.0,0.0,0.0,23230
28/03/2008,5278.0,5278.0,5278.0,5278.0,0.0,0.0,50560
27/03/2008,5229.0,5229.0,5229.0,5229.0,0.0,0.0,6830
26/03/2008,5033.0,5278.0,5033.0,5180.0,147.0,2.91,208750
25/03/2008,5033.0,5033.0,5033.0,5033.0,0.0,0.0,146310
24/03/2008,5278.0,5327.0,5278.0,5278.0,0.0,0.0,181500
21/03/2008,5669.0,5718.0,5522.0,5522.0,-147.0,-2.59,96350
20/03/2008,5620.0,5767.0,5571.0,5767.0,147.0,2.61,81790
19/03/2008,5522.0,5718.0,5473.0,5571.0,49.0,0.88,84530
18/03/2008,5473.0,5522.0,5473.0,5473.0,0.0,0.0,106430
17/03/2008,5768.0,5864.0,5718.0,5718.0,-50.0,-0.87,129340
14/03/2008,5962.0,6060.0,5864.0,6011.0,49.0,0.82,137840
13/03/2008,6060.0,6060.0,5913.0,5962.0,-98.0,-1.61,174240
12/03/2008,5767.0,5962.0,5767.0,5864.0,98.0,1.69,136040
11/03/2008,5864.0,5864.0,5718.0,5767.0,-98.0,-1.67,209560
10/03/2008,5718.0,5718.0,5718.0,5718.0,0.0,0.0,125410
07/03/2008,5473.0,5473.0,5473.0,5473.0,0.0,0.0,21920
06/03/2008,5229.0,5229.0,5229.0,5229.0,0.0,0.0,25050
05/03/2008,4985.0,5033.0,4985.0,4985.0,0.0,0.0,196540
04/03/2008,5229.0,5278.0,5229.0,5229.0,0.0,0.0,145300
03/03/2008,5571.0,5620.0,5473.0,5473.0,-98.0,-1.75,135720
29/02/2008,5815.0,5864.0,5718.0,5718.0,-98.0,-1.68,147470
28/02/2008,5962.0,5962.0,5913.0,5962.0,0.0,0.0,96730
27/02/2008,5864.0,6109.0,5864.0,6109.0,244.0,4.17,107570
26/02/2008,6060.0,6060.0,5864.0,5913.0,-147.0,-2.42,300830
25/02/2008,5815.0,5815.0,5815.0,5815.0,0.0,0.0,84320
22/02/2008,5571.0,5620.0,5571.0,5571.0,0.0,0.0,355990
21/02/2008,5864.0,5913.0,5864.0,5864.0,0.0,0.0,282580
20/02/2008,6158.0,6451.0,6158.0,6158.0,0.0,0.0,102790
19/02/2008,6255.0,6451.0,6255.0,6402.0,147.0,2.34,75200
18/02/2008,6451.0,6597.0,6402.0,6402.0,-49.0,-0.76,148390
15/02/2008,6744.0,6744.0,6646.0,6695.0,-49.0,-0.72,49070
14/02/2008,6744.0,6793.0,6695.0,6744.0,0.0,0.0,100760
13/02/2008,6695.0,6744.0,6646.0,6646.0,-49.0,-0.73,209290
12/02/2008,6940.0,6988.0,6793.0,6842.0,-98.0,-1.41,41680
01/02/2008,7184.0,7184.0,7037.0,7086.0,-98.0,-1.36,140300
31/01/2008,6842.0,6940.0,6793.0,6940.0,98.0,1.43,360200
30/01/2008,7330.0,7330.0,6646.0,6646.0,-684.0,-9.33,410600
29/01/2008,6793.0,6988.0,6744.0,6988.0,195.0,2.88,173310
28/01/2008,6744.0,6744.0,6695.0,6744.0,0.0,0.0,187010
25/01/2008,6500.0,6646.0,6206.0,6646.0,147.0,2.26,95270
24/01/2008,6646.0,6793.0,6353.0,6353.0,-293.0,-4.41,151700
23/01/2008,6646.0,6646.0,6646.0,6646.0,0.0,0.0,177470
22/01/2008,7037.0,7135.0,6988.0,6988.0,-49.0,-0.69,244440
21/01/2008,7526.0,7526.0,7330.0,7330.0,-195.0,-2.6,40040
18/01/2008,7379.0,7526.0,7379.0,7477.0,98.0,1.32,37410
17/01/2008,7624.0,7624.0,7379.0,7379.0,-244.0,-3.21,177790
16/01/2008,7624.0,7624.0,7575.0,7624.0,0.0,0.0,257260
15/01/2008,7477.0,7477.0,7282.0,7282.0,-195.0,-2.61,87910
14/01/2008,7819.0,7819.0,7624.0,7624.0,-195.0,-2.5,58930
11/01/2008,7770.0,7868.0,7673.0,7673.0,-98.0,-1.26,60840
10/01/2008,7624.0,7819.0,7575.0,7575.0,-49.0,-0.64,201610
09/01/2008,8064.0,8064.0,7966.0,7966.0,-98.0,-1.21,21300
08/01/2008,8210.0,8210.0,8015.0,8112.0,-98.0,-1.19,39660
07/01/2008,8112.0,8112.0,7966.0,8112.0,0.0,0.0,84440
04/01/2008,7917.0,7966.0,7917.0,7917.0,0.0,0.0,98260
03/01/2008,8064.0,8112.0,8015.0,8015.0,-49.0,-0.61,128280
02/01/2008,8064.0,8112.0,8064.0,8064.0,0.0,0.0,41550
28/12/2007,8064.0,8112.0,8064.0,8112.0,49.0,0.61,63220
27/12/2007,8064.0,8210.0,8064.0,8161.0,98.0,1.21,20350
26/12/2007,8259.0,8259.0,8161.0,8259.0,0.0,0.0,33860
25/12/2007,8210.0,8259.0,8161.0,8210.0,0.0,0.0,36590
24/12/2007,8259.0,8308.0,8210.0,8210.0,-49.0,-0.59,33640
21/12/2007,8259.0,8259.0,8161.0,8259.0,0.0,0.0,68270
20/12/2007,8259.0,8259.0,8161.0,8161.0,-98.0,-1.18,45490
19/12/2007,8259.0,8308.0,8210.0,8308.0,49.0,0.59,55480
18/12/2007,7917.0,8064.0,7917.0,8064.0,147.0,1.85,76480
17/12/2007,7966.0,8064.0,7917.0,7966.0,0.0,0.0,88160
14/12/2007,8015.0,8112.0,7966.0,7966.0,-49.0,-0.61,98860
13/12/2007,8161.0,8161.0,8112.0,8112.0,-49.0,-0.6,40510
12/12/2007,8112.0,8259.0,8112.0,8161.0,49.0,0.6,108660
11/12/2007,8308.0,8308.0,8161.0,8161.0,-147.0,-1.76,20810
10/12/2007,8308.0,8357.0,8210.0,8308.0,0.0,0.0,24290
07/12/2007,8308.0,8406.0,8308.0,8357.0,49.0,0.59,33870
06/12/2007,8259.0,8406.0,8210.0,8406.0,147.0,1.78,165040
05/12/2007,8357.0,8357.0,8308.0,8308.0,-49.0,-0.58,21380
04/12/2007,8455.0,8503.0,8406.0,8455.0,0.0,0.0,83130
03/12/2007,8112.0,8455.0,8112.0,8455.0,342.0,4.22,68250
30/11/2007,8064.0,8259.0,8064.0,8112.0,49.0,0.61,287810
29/11/2007,8259.0,8406.0,8259.0,8259.0,0.0,0.0,127600
28/11/2007,8455.0,8503.0,8308.0,8308.0,-147.0,-1.73,129280
27/11/2007,8552.0,8552.0,8455.0,8503.0,-49.0,-0.57,225130
26/11/2007,8308.0,8455.0,8259.0,8406.0,98.0,1.18,52680
23/11/2007,8357.0,8357.0,8259.0,8308.0,-49.0,-0.58,86180
22/11/2007,8357.0,8357.0,8308.0,8308.0,-49.0,-0.58,155290
21/11/2007,8357.0,8455.0,8308.0,8308.0,-49.0,-0.58,67560
20/11/2007,8406.0,8552.0,8406.0,8455.0,49.0,0.58,129990
19/11/2007,8552.0,8699.0,8552.0,8699.0,147.0,1.71,64370
16/11/2007,8552.0,8552.0,8503.0,8552.0,0.0,0.0,55270
15/11/2007,8455.0,8455.0,8357.0,8455.0,0.0,0.0,76390
14/11/2007,8308.0,8552.0,8064.0,8064.0,-244.0,-2.94,464180
13/11/2007,8552.0,8552.0,8308.0,8308.0,-244.0,-2.86,94980
12/11/2007,8797.0,8797.0,8699.0,8699.0,-98.0,-1.11,67980
09/11/2007,8699.0,8797.0,8650.0,8797.0,98.0,1.12,44670
08/11/2007,8797.0,8797.0,8748.0,8797.0,0.0,0.0,16150
07/11/2007,8797.0,8797.0,8699.0,8699.0,-98.0,-1.11,49680
06/11/2007,8699.0,8797.0,8601.0,8601.0,-98.0,-1.12,115160
05/11/2007,8650.0,8992.0,8650.0,8699.0,49.0,0.56,309820
02/11/2007,9285.0,9285.0,9090.0,9090.0,-195.0,-2.11,116140
01/11/2007,8992.0,9041.0,8846.0,8992.0,0.0,0.0,109230
31/10/2007,8943.0,9139.0,8943.0,8992.0,49.0,0.55,71900
30/10/2007,8943.0,9237.0,8943.0,9237.0,293.0,3.28,214790
29/10/2007,8992.0,9237.0,8846.0,8846.0,-147.0,-1.63,134250
26/10/2007,9188.0,9285.0,9188.0,9285.0,98.0,1.06,61180
25/10/2007,9237.0,9237.0,8943.0,9188.0,-49.0,-0.53,98710
24/10/2007,8846.0,9188.0,8846.0,9188.0,342.0,3.87,80030
23/10/2007,9041.0,9481.0,8797.0,8894.0,-147.0,-1.62,218200
22/10/2007,9285.0,9285.0,9041.0,9041.0,-244.0,-2.63,103380
19/10/2007,9188.0,9285.0,9188.0,9285.0,98.0,1.06,80890
18/10/2007,9432.0,9481.0,9334.0,9481.0,49.0,0.52,134820
17/10/2007,9285.0,9432.0,9285.0,9432.0,147.0,1.58,21320
16/10/2007,9481.0,9530.0,9334.0,9481.0,0.0,0.0,57050
15/10/2007,9530.0,9530.0,9432.0,9481.0,-49.0,-0.51,29500
12/10/2007,9383.0,9530.0,9285.0,9530.0,147.0,1.56,149030
11/10/2007,9383.0,9432.0,9334.0,9334.0,-49.0,-0.52,58850
10/10/2007,9579.0,9579.0,9383.0,9481.0,-98.0,-1.02,181920
09/10/2007,9139.0,9237.0,9139.0,9237.0,98.0,1.07,83140
08/10/2007,9139.0,9237.0,9090.0,9139.0,0.0,0.0,74250
05/10/2007,9188.0,9334.0,9090.0,9139.0,-49.0,-0.53,170330
04/10/2007,9774.0,9774.0,9334.0,9334.0,-440.0,-4.5,344030
03/10/2007,9530.0,9774.0,9383.0,9676.0,147.0,1.54,271790
02/10/2007,9530.0,9530.0,8894.0,9530.0,0.0,0.0,417320
01/10/2007,8894.0,9334.0,8748.0,9334.0,440.0,4.95,454320
28/09/2007,8650.0,8894.0,8503.0,8894.0,244.0,2.82,293400
27/09/2007,8699.0,8699.0,8455.0,8503.0,-195.0,-2.25,151670
26/09/2007,8552.0,8699.0,8406.0,8455.0,-98.0,-1.14,63920
25/09/2007,8406.0,8552.0,8308.0,8552.0,147.0,1.74,277700
24/09/2007,8112.0,8210.0,8064.0,8210.0,98.0,1.2,101360
21/09/2007,8161.0,8210.0,8064.0,8112.0,-49.0,-0.6,71420
20/09/2007,8161.0,8210.0,8112.0,8210.0,49.0,0.6,97500
19/09/2007,8161.0,8161.0,8064.0,8112.0,-49.0,-0.6,102640
18/09/2007,8064.0,8112.0,8015.0,8112.0,49.0,0.61,83590
17/09/2007,8064.0,8112.0,8015.0,8112.0,49.0,0.61,106560
14/09/2007,7966.0,8064.0,7917.0,8064.0,98.0,1.23,175130
13/09/2007,7868.0,7917.0,7868.0,7917.0,49.0,0.62,35010
12/09/2007,7917.0,7966.0,7868.0,7868.0,-49.0,-0.62,71030
11/09/2007,7868.0,7917.0,7819.0,7868.0,0.0,0.0,46810
10/09/2007,7966.0,7966.0,7819.0,7819.0,-147.0,-1.84,107400
07/09/2007,7868.0,7917.0,7868.0,7917.0,49.0,0.62,176010
06/09/2007,7770.0,7868.0,7770.0,7819.0,49.0,0.63,125960
05/09/2007,8015.0,8015.0,7770.0,7770.0,-244.0,-3.05,243060
04/09/2007,7868.0,8015.0,7868.0,8015.0,147.0,1.86,228820
31/08/2007,7917.0,7917.0,7819.0,7819.0,-98.0,-1.23,285630
30/08/2007,7868.0,7917.0,7819.0,7917.0,49.0,0.62,210440
